1,2,Trans,Match,Major
V7,I,V7-I,Yes,Major
I,gerVI,I-gerVI,Yes,Major
gerVI,I,gerVI-I,Yes,Major
I,gerVI,I-gerVI,Yes,Major
gerVI,I,gerVI-I,Yes,Major
bII,bII,bII-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
V,V,V-V,No,Major
IV,IV,IV-IV,No,Major
bII,bII,bII-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
V,V,V-V,No,Major
IV,IV,IV-IV,No,Major
I,V6,I-V6,Yes,Major
V6,V65,V6-V65,Yes,Major
V65,V,V65-V,Yes,Major
V,I,V-I,Yes,Major
I,II7,I-II7,Yes,Major
II7,V,II7-V,Yes,Major
V,I,V-I,Yes,Major
I,V6,I-V6,Yes,Major
V6,V65,V6-V65,Yes,Major
V65,V,V65-V,Yes,Major
V,I,V-I,Yes,Major
bII,bVI6,bII-bVI6,No,Major
IV,I6,IV-I6,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
bII,bVI6,bII-bVI6,No,Major
IV,I6,IV-I6,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,IV,I-IV,Yes,Major
IV,I,IV-I,Yes,Major
bVI,bII,bVI-bII,No,Major
V,I,V-I,No,Major
bII,bVI,bII-bVI,No,Major
I,V,I-V,No,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
V6,I,V6-I,Yes,Major
I,II65,I-II65,Yes,Major
II65,V7,II65-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,IV6,I-IV6,Yes,Major
IV6,I,IV6-I,Yes,Major
bVI6,bII,bVI6-bII,No,Major
I6,IV,I6-IV,No,Major
bVI,bII6,bVI-bII6,No,Major
V,I6,V-I6,No,Major
bII6,bVI,bII6-bVI,No,Major
I6,V,I6-V,No,Major
I,IV6,I-IV6,Yes,Major
IV6,VI6,IV6-VI6,Yes,Major
VI6,II6,VI6-II6,Yes,Major
II6,II,II6-II,Yes,Major
II,V7,II-V7,Yes,Major
V7,VI,V7-VI,Yes,Major
VI,V65,VI-V65,Yes,Major
V65,I,V65-I,Yes,Major
VI,III,VI-III,Yes,Major
bVI,bII6,bVI-bII6,No,Major
V,I6,V-I6,No,Major
I6,III6,I6-III6,No,Major
III6,VI6,III6-VI6,No,Major
VI6,VI,VI6-VI,No,Major
II,VI,II-VI,No,Major
VI,V64,VI-V64,Yes,Major
V64,IV,V64-IV,Yes,Major
IV,I,IV-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
VI,V64,VI-V64,Yes,Major
V64,IV,V64-IV,Yes,Major
IV,I,IV-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,V,I-V,Yes,Major
II,dimVII7,II-dimVII7,Yes,Major
dimVII7,III,dimVII7-III,Yes,Major
III,dimVII7,III-dimVII7,Yes,Major
dimVII7,III,dimVII7-III,Yes,Major
IV,I,IV-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,V7,I-V7,Yes,Major
